2024-05-08 13:38:13.552146,dwm.exe,414,6e8,1b1,284,0,49cf1ff5c0,30
2024-05-08 13:38:13.583471,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff660,10
2024-05-08 13:38:13.614806,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff5e0,10
2024-05-08 13:38:13.645885,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff660,10
2024-05-08 13:38:13.677231,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff4c0,10
2024-05-08 13:38:13.708643,dwm.exe,414,6e8,11e8,49cf1ff5c0,4000000000000000,0,0
2024-05-08 13:38:13.739955,dwm.exe,414,6e8,11e8,49cf1fdf40,40000680,0,0
2024-05-08 13:38:13.771037,dwm.exe,414,6e8,1224,49cf1fd4c0,7ffb5fb0b870,49cf1fd4c0,7ffb5fac2190
2024-05-08 13:38:13.802185,dwm.exe,414,6e8,11dd,49cf1f5110,40000000,49cf1f5110,1919efc2bb0
2024-05-08 13:38:13.833383,dwm.exe,414,6e8,5f,5,0,0,49cf1f5250
2024-05-08 13:38:13.864835,dwm.exe,414,6e8,11dd,49cf1f5110,40000000,49cf1f5110,1919efc2bb0
2024-05-08 13:38:13.895809,dwm.exe,414,6e8,11dd,49cf1fcc20,40000000,49cf1fcc20,1919efc2bb0
2024-05-08 13:38:13.927415,dwm.exe,414,6e8,103c,1919f564550,0,1,1
2024-05-08 13:38:13.958443,dwm.exe,414,6e8,1010,1403d2,0,49cf1fcd88,49cf1fce41
2024-05-08 13:38:13.989582,dwm.exe,414,6e8,1010,1403d2,2,49cf1fcd18,49cf1fce41
2024-05-08 13:38:14.021044,hyperdbg-cli.e,16e4,109c,7,588,590,0,0
2024-05-08 13:38:14.052078,hyperdbg-cli.e,16e4,109c,34,0,d19cdff870,d19c998000,100
2024-05-08 13:38:14.083529,OneDrive.exe,1dc8,153c,4,bd4,0,15843ffc18,15843ffd90
2024-05-08 13:38:14.114598,explorer.exe,1670,1f78,5,2f6f5f0,18,0,8
2024-05-08 13:38:14.145868,explorer.exe,1670,1f78,1001,2f6f6c0,0,0,0
2024-05-08 13:38:14.176985,explorer.exe,1670,1f78,10dd,2f6f4e8,0,0,0
