2024-05-03 14:53:02.564571,LibreOfficePor,cc8,1438,2a,ffffffffffffffff,50d0000,50d0000,0
2024-05-03 14:53:02.595828,explorer.exe,15f8,1584,1486,1,40d1440,ffffffff,1cff
2024-05-03 14:53:02.627147,LibreOfficePor,cc8,1438,1e,ffffffffffffffff,9e5f0,9e5d8,8000
2024-05-03 14:53:02.658713,LibreOfficePor,cc8,1438,1a0006,464,0,0,0
2024-05-03 14:53:02.689698,LibreOfficePor,cc8,1438,1a0006,464,0,0,0
2024-05-03 14:53:02.720839,LibreOfficePor,cc8,1438,1a0006,464,0,0,0
2024-05-03 14:53:02.752186,LibreOfficePor,cc8,1438,1a0006,464,0,0,0
2024-05-03 14:53:02.783420,dwm.exe,410,6b4,61,278,0,0,0
2024-05-03 14:53:02.814371,soffice.exe,1898,838,50031,b5e3a0,0,206,770e4a4c
2024-05-03 14:53:02.845794,soffice.bin,1508,1b68,16,d0,3,b95f50,818
2024-05-03 14:53:02.876967,svchost.exe,db4,183c,d,fffffffffffffffe,5,154d078500,8
2024-05-03 14:53:02.908220,soffice.bin,1508,1b68,3000f,2d4,770f8a30,202,770e2cec
2024-05-03 14:53:02.939493,dwm.exe,410,6b4,5b,1,24a5a3a78f0,1,0
2024-05-03 14:53:02.970765,dwm.exe,410,6b4,25,fffffffffffffffe,17,a42fbff4e0,10
2024-05-03 14:53:03.001826,soffice.bin,1508,1b68,18,ffffffffffffffff,6bde30,0,6bde20
2024-05-03 14:53:03.033115,explorer.exe,15f8,16ac,12,2a8e0c0,1,2a8dff0,0
2024-05-03 14:53:03.064527,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:53:03.095780,soffice.bin,1508,1b68,121,6bdda8,20019,6bddc8,0
2024-05-03 14:53:03.126890,soffice.bin,1508,1b68,3000f,3b8,770f8a30,200212,770e2cec
2024-05-03 14:53:03.158127,soffice.bin,1508,1b68,19a,3b8,5,6bdda0,4
2024-05-03 14:53:03.189466,soffice.bin,1508,1b68,c00e9,ffffffffffffffff,69da1090,60,770e3a2c
2024-05-03 14:53:03.220838,svchost.exe,db4,183c,16,988,7,154d077e08,4
2024-05-03 14:53:03.252028,soffice.bin,1508,1b68,3f,4c4,1a601f0,189d8ec,48
2024-05-03 14:53:03.283254,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,8000000
2024-05-03 14:53:03.314469,soffice.bin,1508,1b68,3f,4c4,1a606c0,189d960,48
2024-05-03 14:53:03.345776,soffice.bin,1508,1b68,3f,4c4,1a67168,189d960,48
2024-05-03 14:53:03.376880,soffice.bin,1508,1b68,3f,4c4,1a5b090,189d8ec,48
2024-05-03 14:53:03.408088,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:53:03.439579,soffice.bin,1508,1b68,3f,4c4,1a60350,189d960,48
2024-05-03 14:53:03.470755,soffice.bin,1508,1b68,3f,4c4,1a5fc00,189d960,48
2024-05-03 14:53:03.501922,soffice.bin,1508,1b68,3f,4c4,1a60820,189d8ec,48
2024-05-03 14:53:03.533313,soffice.bin,1508,1b68,3f,4c4,1a60820,189d8ec,48
2024-05-03 14:53:03.564389,soffice.bin,1508,1b68,3f,4c4,1a58ac8,189d960,48
2024-05-03 14:53:03.595690,soffice.bin,1508,1b68,3f,4c4,1a706f8,189d960,48
2024-05-03 14:53:03.626775,soffice.bin,1508,1b68,3f,4c4,1a5fb50,189d8ec,48
2024-05-03 14:53:03.657958,soffice.bin,1508,1b68,3f,4c4,1a670b8,189d8ec,48
2024-05-03 14:53:03.689311,soffice.bin,1508,1b68,3f,4c4,1a60820,189d960,48
2024-05-03 14:53:03.720472,soffice.bin,1508,1b68,3f,4c4,1a6feb8,189d960,48
2024-05-03 14:53:03.751783,soffice.bin,1508,1b68,23,ffffffffffffffff,8710000,3,6bdda0
2024-05-03 14:53:03.783030,soffice.bin,1508,1b68,21,53c,1,6be5f0,108
2024-05-03 14:53:03.814031,soffice.bin,1508,1b68,16,57c,7,6bdcf8,4
2024-05-03 14:53:03.845429,soffice.bin,1508,1b68,121,6bddc0,f003f,6bdde8,0
2024-05-03 14:53:03.876814,soffice.bin,1508,1b68,16,4f0,3,fdc3420,818
2024-05-03 14:53:03.908118,soffice.bin,1508,1b68,11c9,6bddf0,1c9,1,6
2024-05-03 14:53:03.939106,soffice.bin,1508,1b68,11d7,189f168,1d7,1,6
2024-05-03 14:53:03.970401,soffice.bin,1508,1b68,c00e9,ffffffffffffffff,69dad4d0,60,770e3a2c
2024-05-03 14:53:04.001682,soffice.bin,1508,1b68,162,6b,189e1cc,4,0
2024-05-03 14:53:04.032899,soffice.bin,1508,1b68,3f,6c8,1a60090,189d72c,48
2024-05-03 14:53:04.064086,soffice.bin,1508,1b68,3f,6c8,1a5f7e0,189d72c,48
2024-05-03 14:53:04.095435,soffice.bin,1508,1b68,3f,6c8,1a60820,189d7a0,48
2024-05-03 14:53:04.126500,soffice.bin,1508,1b68,3f,6c8,1a5ae30,189d7a0,48
2024-05-03 14:53:04.157688,soffice.bin,1508,1b68,3f,6c8,1a5f260,189d72c,48
2024-05-03 14:53:04.189122,soffice.bin,1508,1b68,3f,6c8,1a5f520,189d72c,48
2024-05-03 14:53:04.220372,soffice.bin,1508,1b68,3f,6c8,1a60560,189d7a0,48
2024-05-03 14:53:04.251637,soffice.bin,1508,1b68,3f,6c8,1a67f28,189d7a0,48
2024-05-03 14:53:04.282813,soffice.bin,1508,1b68,3f,6c8,8a500c,189d6f4,4
2024-05-03 14:53:04.314128,soffice.bin,1508,1b68,3f,6c8,1a5eeb8,189d72c,48
2024-05-03 14:53:04.345419,soffice.bin,1508,1b68,3f,6c8,1a5b090,189d7a0,48
2024-05-03 14:53:04.376689,soffice.bin,1508,1b68,3f,6c8,1a57a10,189d7a0,48
2024-05-03 14:53:04.407979,soffice.bin,1508,1b68,3f,6c8,1a60ae0,189d72c,48
2024-05-03 14:53:04.439109,soffice.bin,1508,1b68,3f,6c8,1a5fc00,189d72c,48
2024-05-03 14:53:04.470501,soffice.bin,1508,1b68,3f,6c8,1a604b0,189d72c,48
