RansomwarePOC.,23f0,1c74,18,ffffffffffffffff,6980776a60,0,6980776a68
RansomwarePOC.,23f0,1c74,55,6980778530,80100080,6980778590,6980778538
RansomwarePOC.,23f0,1c74,49,228,6980778660,6980778680,8
RansomwarePOC.,23f0,1c74,10,228,4,6980778890,2
RansomwarePOC.,23f0,1c74,5c,228,4,6980778890,2
SearchIndexer.,15f0,1420,4,1c8,0,9db27d598,48a
dwm.exe,418,6e0,25,fffffffffffffffe,17,d70227f640,10
SearchIndexer.,15f0,1420,4,1c8,0,9db27d598,8000000
dwm.exe,418,6e0,11e8,d70227ebb8,1f234d587c0,7ff9ec250f98,d70227e9f0
SearchIndexer.,15f0,1420,e,964,0,0,0
dwm.exe,418,6e0,11b1,d70227eb18,1f234ececd0,d70227ea88,d70227eb90
SearchIndexer.,15f0,1420,4,598,0,9db27e438,0
dwm.exe,418,6e0,11b7,d70227eb38,1f234ececd0,0,d70227eb90
SearchIndexer.,15f0,1420,4,598,0,9db27e118,1
dwm.exe,418,6e0,11e8,d70227ea10,1f234dc1df0,d70227ea88,d70227eb90
SearchIndexer.,15f0,1420,4,1c8,0,9db27d598,48a
dwm.exe,418,6e0,25,fffffffffffffffe,17,d70227f640,10
SearchIndexer.,15f0,1420,4,1c8,0,9db27d598,8000000
SearchIndexer.,15f0,1420,4,1c8,0,9db27ce08,1c31f6524c0
dwm.exe,418,6e0,25,fffffffffffffffe,17,d70227f5c0,10
dwm.exe,418,6e0,25,fffffffffffffffe,17,d70227f640,10
SearchIndexer.,15f0,1420,16,80,7,9db27c528,4
SearchIndexer.,15f0,1420,121,9db27c558,1,9db27c578,0
dwm.exe,418,6e0,25,fffffffffffffffe,17,d70227f4a0,10
SearchIndexer.,15f0,1420,17,b98,9db27c758,2,9db27c610
SearchIndexer.,15f0,1420,f,b98,ffffffffffffffff,0,0
SearchIndexer.,15f0,1420,e,5ac,0,2,7fffffff
svchost.exe,708,77c,5e,7fffffff0005000f,200,28,7a9667f7e0
svchost.exe,708,77c,5e,7fffffff0005000f,200,28,7a9667f940
svchost.exe,710,744,5b,1,1dc40e32060,1,0
svchost.exe,708,77c,5e,7fffffff0005000f,200,28,7a9667f7c0
svchost.exe,708,77c,5e,7fffffff0005000f,200,28,7a9667f6e0
svchost.exe,1608,171c,1b1,3bc,0,9161ff040,30
svchost.exe,708,77c,5e,7fffffff0005000f,200,28,7a9667f920
svchost.exe,1608,171c,90,3d4,3f0,3bc,40000802
svchost.exe,708,77c,5e,7fffffff0005000f,200,28,7a9667f920
svchost.exe,1608,171c,172,3f0,9161ff030,1,9161ff020
svchost.exe,708,77c,5e,7fffffff0005000f,200,28,7a9667f910
svchost.exe,1608,171c,5b,1,15881645070,1,0
svchost.exe,708,77c,5e,7fffffff0005000f,200,28,7a9667f940
conhost.exe,10e4,1a64,14ac,1010bd3,106ffea09a0,bd3,10680200000
conhost.exe,10e4,1a64,1445,303de,39637ea00,1,1
MsMpEng.exe,edc,102c,1d5,1c,22445ad8700,10,94b957f878
timeout.exe,115c,dfc,23,ffffffffffffffff,7ff9ee720000,6,c21b51d9b0
MsMpEng.exe,edc,11ac,55,94b9477b60,100001,94b9477b00,94b9477ad0
MsMpEng.exe,edc,11ac,27,ce8,94b9478538,94b9478530,8
MsMpEng.exe,edc,11ac,6,ce8,0,0,0
MsMpEng.exe,edc,11ac,d,fffffffffffffffe,18,94b94785f0,4
MsMpEng.exe,edc,11ac,12e,94b947e508,80000000,94b947e480,0
SearchIndexer.,15f0,1420,4,598,0,9db27e118,ffffffff
SearchProtocol,2188,21b8,e,640,0,ffffffff,1
SearchProtocol,2188,21b8,4,4b4,0,47606f6e88,202
SearchProtocol,2188,21b8,19,ffffffffffffffff,4,47606f9f90,20
SearchProtocol,2188,21b8,4,4b4,0,47606f6cf8,7ff9ebb4dea0
SearchIndexer.,15f0,17ec,3c,ffffffffffffffff,b28,ffffffffffffffff,9db1fe5c0
SearchProtocol,2188,21b8,21,76c,29,47606f92e0,4c
SearchIndexer.,15f0,17ec,4,1c8,0,9db1faa08,202
SearchIndexer.,15f0,17ec,e,b38,0,2,0
SearchIndexer.,15f0,17ec,f,468,ffffffffffffffff,0,0
SearchIndexer.,15f0,17ec,4,598,0,0,7fffffff
SearchIndexer.,15f0,17ec,e,2e4,0,9db1fad88,7fffffff
