2024-05-26 19:26:14.515636,MsMpEng.exe,e58,16c4,39,864,0,0,0
2024-05-26 19:26:14.546856,MsMpEng.exe,e58,16c4,5b,1,46597fa1d0,1,0
2024-05-26 19:26:14.578146,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f9bfc,4
2024-05-26 19:26:14.609380,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:14.640574,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:14.672011,MOM.exe,2198,226c,34,1,60c3afefe0,0,60c2e44290
2024-05-26 19:26:14.703089,conhost.exe,1c24,1dd0,4,1a8,0,0,0
2024-05-26 19:26:14.734310,MsMpEng.exe,e58,16c4,3f,858,c10000,1aaa6d9f7a0,1000
2024-05-26 19:26:14.765750,MsMpEng.exe,e58,16c4,147,46597fcfb0,46597fcfe0,e,0
2024-05-26 19:26:14.796888,MsMpEng.exe,e58,16c4,55,46597fcf60,100080,46597fcfc0,46597fcf68
2024-05-26 19:26:14.828088,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:14.859376,MsMpEng.exe,e58,16c4,3f,858,21eb6c0df10,46597fcfc0,88
2024-05-26 19:26:14.890575,MsMpEng.exe,e58,16c4,20,6fc,0,100,60
2024-05-26 19:26:14.921822,MsMpEng.exe,e58,16c4,5b,3,46597f8da0,1,0
2024-05-26 19:26:14.953115,MsMpEng.exe,e58,16c4,12e,46597f8b38,80000000,46597f8ab0,0
2024-05-26 19:26:14.984296,MsMpEng.exe,e58,16c4,12e,46597f8b38,80000000,46597f8ab0,0
2024-05-26 19:26:15.015552,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:15.046787,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:15.078063,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f9010,4
2024-05-26 19:26:15.109305,MsMpEng.exe,e58,16c4,3f,858,7ff777eed000,1aaa76f8ad0,1000
2024-05-26 19:26:15.140516,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f9bfc,4
2024-05-26 19:26:15.171758,MsMpEng.exe,e58,16c4,25,fffffffffffffffe,19,46597f9bfc,4
2024-05-26 19:26:15.202959,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f9bd0,4
2024-05-26 19:26:15.234184,MsMpEng.exe,e58,16c4,3f,858,7ff7a62f9000,1aaa7754ad0,1000
2024-05-26 19:26:15.265479,conhost.exe,1c24,b64,4,4,0,0,4
2024-05-26 19:26:15.296737,MsMpEng.exe,e58,16c4,5b,1,46597f97f0,1,0
2024-05-26 19:26:15.327967,MsMpEng.exe,e58,16c4,20,6fc,0,100,60
2024-05-26 19:26:15.359216,MsMpEng.exe,e58,16c4,3f,858,168160597e0,46597fcfc0,88
2024-05-26 19:26:15.390434,MsMpEng.exe,e58,16c4,3f,858,16816058040,46597fcfc0,88
2024-05-26 19:26:15.421721,hyperdbg-cli.e,1338,1ea8,7,584,58c,0,0
2024-05-26 19:26:15.452968,MsMpEng.exe,e58,16c4,3f,754,7ff7af7c2000,1aaa771dad0,1000
2024-05-26 19:26:15.484181,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f9bfc,4
2024-05-26 19:26:15.515440,MsMpEng.exe,e58,16c4,23,754,7ff7af7dc000,0,46597fd1d0
2024-05-26 19:26:15.546676,MsMpEng.exe,e58,16c4,23,754,7ff7af7dd000,0,46597fd1d0
2024-05-26 19:26:15.577941,MsMpEng.exe,e58,16c4,23,754,7ff7af7de000,0,46597fd1d0
