2024-04-21 17:50:00.898230,soffice.bin,23ec,27b0,3f,47c,1bc7390,1b8d8ec,48
2024-04-21 17:50:00.929485,soffice.bin,23ec,27b0,3f,47c,1bcc5a0,1b8d8ec,48
2024-04-21 17:50:00.960679,soffice.bin,23ec,27b0,3f,47c,1bc7f40,1b8d960,48
2024-04-21 17:50:00.991963,soffice.bin,23ec,27b0,3f,47c,1bcc860,1b8d960,48
2024-04-21 17:50:01.023209,soffice.bin,23ec,27b0,3f,47c,1bb8648,1b8d8ec,48
2024-04-21 17:50:01.054441,soffice.bin,23ec,27b0,3f,47c,1bd5f10,1b8d8ec,48
2024-04-21 17:50:01.085677,soffice.bin,23ec,27b0,3f,47c,1bc7de0,1b8d960,48
2024-04-21 17:50:01.116927,soffice.bin,23ec,27b0,3f,47c,1bcd200,1b8d960,48
2024-04-21 17:50:01.148167,soffice.bin,23ec,27b0,19,47c,0,f4dd70,30
2024-04-21 17:50:01.179433,soffice.bin,23ec,27b0,3f,47c,1bcc5a0,1b8d8ec,48
2024-04-21 17:50:01.210768,soffice.bin,23ec,27b0,3f,47c,1bccc80,1b8d960,48
2024-04-21 17:50:01.241909,soffice.bin,23ec,27b0,3f,47c,1bd5e60,1b8d960,48
2024-04-21 17:50:01.273135,SearchIndexer.,1558,16b8,34,0,762bafef50,762b051000,8000000000000004
2024-04-21 17:50:01.304475,soffice.bin,23ec,27b0,23,ffffffffffffffff,8c50000,3,f4de90
2024-04-21 17:50:01.335625,soffice.bin,23ec,27b0,3000f,574,77e88a30,200202,77e72c4c
2024-04-21 17:50:01.366888,soffice.bin,23ec,27b0,121,f4deb0,20019,f4ded8,0
2024-04-21 17:50:01.398136,MsMpEng.exe,ddc,1ac,20,cb4,0,100,60
2024-04-21 17:50:01.429365,soffice.bin,23ec,27b0,11c9,f4dee0,1c9,1,6
2024-04-21 17:50:01.460589,soffice.bin,23ec,27b0,11c9,f4dee0,1c9,1,6
2024-04-21 17:50:01.491842,soffice.bin,23ec,27b0,3d,f4e7c0,f4df18,f4e7b0,41
2024-04-21 17:50:01.523114,MsMpEng.exe,ddc,1ac,25,fffffffffffffffe,1,68a91fcdd0,20
2024-04-21 17:50:01.554286,soffice.bin,23ec,27b0,11cd,1b8f158,1cd,1,6
2024-04-21 17:50:01.585585,soffice.bin,23ec,27b0,1e,ffffffffffffffff,f4df20,f4df08,4000
2024-04-21 17:50:01.616856,soffice.bin,23ec,27b0,c00e9,ffffffffffffffff,6ab47e50,60,77e73a2c
2024-04-21 17:50:01.648084,soffice.bin,23ec,27b0,11dd,f4df20,f4df20,1,6
2024-04-21 17:50:01.679291,soffice.bin,23ec,27b0,3f,7b0,1bcd620,1b8d72c,48
2024-04-21 17:50:01.710502,soffice.bin,23ec,27b0,3f,7b0,1bb8458,1b8d72c,48
2024-04-21 17:50:01.741796,soffice.bin,23ec,27b0,3f,7b0,1bc6ed0,1b8d7a0,48
2024-04-21 17:50:01.772986,SearchIndexer.,1558,1770,e,2d8,0,762ba7afa8,7fffffff
2024-04-21 17:50:01.804250,soffice.bin,23ec,27b0,3f,7b0,1bc75a0,1b8d72c,48
2024-04-21 17:50:01.835550,soffice.bin,23ec,27b0,3f,7b0,1bccbd0,1b8d72c,48
2024-04-21 17:50:01.866766,soffice.bin,23ec,27b0,3f,7b0,1bc7440,1b8d7a0,48
2024-04-21 17:50:01.897980,soffice.bin,23ec,27b0,3f,7b0,1bcc9c0,1b8d7a0,48
2024-04-21 17:50:01.929245,soffice.bin,23ec,27b0,3f,7b0,97a6f50,1b8d7a0,48
2024-04-21 17:50:01.960433,soffice.bin,23ec,27b0,3f,7b0,1bc7ff0,1b8d72c,48
2024-04-21 17:50:01.991677,soffice.bin,23ec,27b0,3f,7b0,1bc7120,1b8d72c,48
2024-04-21 17:50:02.022950,soffice.bin,23ec,27b0,3f,7b0,1bc80a0,1b8d7a0,48
2024-04-21 17:50:02.054221,soffice.bin,23ec,27b0,3f,7b0,1bd7bf0,1b8d7a0,48
2024-04-21 17:50:02.085446,soffice.bin,23ec,27b0,3f,7b0,1bc7ff0,1b8d72c,48
