2024-04-18 08:27:00.396148,explorer.exe,1588,2450,19,ffffffffffffffff,17,d17f320,24
2024-04-18 08:27:00.427519,explorer.exe,1588,2450,19,ffffffffffffffff,17,d17f320,24
2024-04-18 08:27:00.458891,explorer.exe,1588,2450,19,ffffffffffffffff,17,d17f320,24
2024-04-18 08:27:00.490157,explorer.exe,1588,2450,16,2c8,7,d17e878,4
2024-04-18 08:27:00.521328,explorer.exe,1588,2450,121,d17e8a8,1,d17e8c8,0
2024-04-18 08:27:00.552640,explorer.exe,1588,2450,16,2c8,7,d17e878,4
2024-04-18 08:27:00.583800,explorer.exe,1588,2450,121,d17e8a8,1,d17e8c8,0
2024-04-18 08:27:00.615065,dwm.exe,418,7b4,172,45c,cbe3bff370,1,cbe3bff360
2024-04-18 08:27:00.646105,dwm.exe,418,7cc,5,cbe3cff3f0,18,0,0
2024-04-18 08:27:00.677333,explorer.exe,1588,22f8,5,b80d290,18,0,b80d1e8
2024-04-18 08:27:00.708688,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 08:27:00.739849,explorer.exe,1588,22f8,1486,1,b80d278,ffffffff,3cff
2024-04-18 08:27:00.771101,dwm.exe,418,7b4,1133,cbe3bff360,cbe3bff358,cbe3bff370,cbe3bff368
2024-04-18 08:27:00.802289,dwm.exe,418,7cc,5b,1,203e8ee1b60,1,0
2024-04-18 08:27:00.833548,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:27:00.864809,dwm.exe,418,7cc,90,470,b70,468,40001402
2024-04-18 08:27:00.896015,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:27:00.927252,explorer.exe,1588,22f8,1042,42,10,b80c690,0
2024-04-18 08:27:00.958463,explorer.exe,1588,22f8,5,b80d040,18,0,b80d0e8
2024-04-18 08:27:00.989833,explorer.exe,1588,22f8,5,b80d270,18,0,b80d288
2024-04-18 08:27:01.021033,explorer.exe,1588,22f8,19,ffffffffffffffff,34,b80d160,8
2024-04-18 08:27:01.052416,explorer.exe,1588,22f8,5,b80d290,18,0,b80d1e8
2024-04-18 08:27:01.083631,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:27:01.114771,explorer.exe,1588,22f8,100e,120520,a91c,0,b80cd80
2024-04-18 08:27:01.145933,dwm.exe,418,7b4,4,fa0,0,cbe3bff7f8,cbe3bff8c9
2024-04-18 08:27:01.177340,explorer.exe,1588,710,d,fffffffffffffffe,3,c58fbf8,4
2024-04-18 08:27:01.208586,explorer.exe,1588,22f8,10dd,b80d288,0,0,0
2024-04-18 08:27:01.239722,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 08:27:01.271143,dwm.exe,418,7b4,11dd,cbe3bfb970,40000000,cbe3bfb970,203edaf8c60
2024-04-18 08:27:01.302148,explorer.exe,1588,22f8,19,ffffffffffffffff,34,b80cef0,8
2024-04-18 08:27:01.333431,explorer.exe,1588,22f8,10aa,4075e,2,1,0
2024-04-18 08:27:01.364666,explorer.exe,1588,22f8,100e,120520,a91c,0,b80cd80
2024-04-18 08:27:01.396160,explorer.exe,1588,22f8,5,b80d040,18,0,b80d0e8
2024-04-18 08:27:01.427386,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:27:01.458367,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:27:01.489654,explorer.exe,1588,22f8,10aa,10010,1,b80c588,b80c7f0
2024-04-18 08:27:01.521067,dwm.exe,418,7cc,90,470,b70,468,40001402
2024-04-18 08:27:01.553400,explorer.exe,1588,22f8,13fc,1c0690,b80c580,0,7fffc2826b08
2024-04-18 08:27:01.583521,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 08:27:01.614765,explorer.exe,1588,22f8,16,9cc,7,b80c1b8,4
2024-04-18 08:27:01.646010,dwm.exe,418,7cc,5b,1,203e8ee1b60,1,0
2024-04-18 08:27:01.677235,explorer.exe,1588,22f8,121,b80c1e8,1,b80c208,0
2024-04-18 08:27:01.708541,explorer.exe,1588,22f8,14,7fffc2827418,2e,b80c640,59
2024-04-18 08:27:01.739753,explorer.exe,1588,22f8,14,7fffc2827540,32,b80c640,7fffc2826b08
2024-04-18 08:27:01.770977,explorer.exe,1588,22f8,100e,4075e,c018,c,0
2024-04-18 08:27:01.801976,svchost.exe,244,280,8c,d90,0,201c709b770,201c7ec6dc8
2024-04-18 08:27:01.833306,svchost.exe,244,280,3c,ffffffffffffffff,dec,ffffffffffffffff,3d57f7f5b8
2024-04-18 08:27:01.864548,svchost.exe,244,1634,89,d90,0,3d582ff480,10
2024-04-18 08:27:01.895977,svchost.exe,244,280,d,fffffffffffffffe,5,3d57f7f488,8
2024-04-18 08:27:01.927027,NisSrv.exe,888,23bc,1d5,374,261cf963a00,10,dda7d7fbd8
2024-04-18 08:27:01.958281,NisSrv.exe,888,18d4,171,114,1,0,ffff0000
2024-04-18 08:27:01.989650,NisSrv.exe,888,1bf8,1d5,114,261cf964fc0,10,dda78ff6f8
2024-04-18 08:27:02.020937,NisSrv.exe,888,18d4,1e,ffffffffffffffff,dda787f270,dda787f278,8000
2024-04-18 08:27:02.052146,NisSrv.exe,888,18d4,1d5,114,261cf964880,10,dda787f4d8
2024-04-18 08:27:02.083363,NisSrv.exe,888,18b0,18,ffffffffffffffff,dda7aff060,0,dda7aff108
2024-04-18 08:27:02.114595,NisSrv.exe,888,18b0,18,ffffffffffffffff,dda7aff0d0,0,dda7aff178
2024-04-18 08:27:02.145641,explorer.exe,1588,22f8,1046,1c0690,1c0b1,b80d138,b80d2b9
2024-04-18 08:27:02.176891,dwm.exe,418,6d0,5b,3,203e8ec4170,1,0
2024-04-18 08:27:02.208119,explorer.exe,1588,22f8,1046,40764,a911,af3780,1
2024-04-18 08:27:02.239390,explorer.exe,1588,1d90,17,26c4,cb8ca08,2,cb8c8c0
2024-04-18 08:27:02.270670,ctfmon.exe,10fc,12dc,3e,34c,0,23af39ce490,d0460ff6c8
2024-04-18 08:27:02.301855,explorer.exe,1588,22f8,90,28d8,1f58,2a64,b336c70
2024-04-18 08:27:02.333132,explorer.exe,1588,22f8,1005,8,0,0,7fffbeaef4a0
2024-04-18 08:27:02.364376,explorer.exe,1588,22f8,5,b80e020,18,0,b80df78
2024-04-18 08:27:02.395561,explorer.exe,1588,22f8,1007,1c0690,20,e0566,2000001
2024-04-18 08:27:02.426825,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:27:02.458043,explorer.exe,1588,22f8,1000,7,200,0,116021c
2024-04-18 08:27:02.489346,explorer.exe,1588,22f8,10aa,1c0690,2,0,0
2024-04-18 08:27:02.520464,dwm.exe,418,7b4,11e8,cbe3bff3d0,0,0,0
2024-04-18 08:27:02.551822,explorer.exe,1588,164c,100e,10110,a915,0,2dde8d0
2024-04-18 08:27:02.583042,dwm.exe,418,7b4,1254,cbe3bff340,7fffbd43a860,cbe3bff340,a429
2024-04-18 08:27:02.614226,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:27:02.645466,dwm.exe,418,7cc,5,cbe3cff3f0,18,0,0
2024-04-18 08:27:02.676797,explorer.exe,1588,164c,1012,a27,28,18b4,68
2024-04-18 08:27:02.708053,explorer.exe,1588,6e8,5,d17f080,18,0,d17ecd1
2024-04-18 08:27:02.739263,dwm.exe,418,7cc,5,cbe3cff3f0,18,0,0
2024-04-18 08:27:02.770491,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 08:27:02.801774,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 08:27:02.832999,hyperdbg-cli.e,1bd4,1970,34,0,e367ff7f0,e362ce000,100
2024-04-18 08:27:02.864226,explorer.exe,1588,164c,1486,0,0,ffffffff,3cff
2024-04-18 08:27:02.895468,dwm.exe,418,7cc,172,b70,cbe3cff500,1,cbe3cff4f0
2024-04-18 08:27:02.926866,dwm.exe,418,7cc,1335,2,0,0,1
2024-04-18 08:27:02.958020,explorer.exe,1588,6e8,1007,19074e,20,130308,2000001
2024-04-18 08:27:02.989290,explorer.exe,1588,6e8,102a,d17e3c8,1,7f,130308
2024-04-18 08:27:03.020370,explorer.exe,1588,6e8,10dd,d17fa68,0,0,0
2024-04-18 08:27:03.051599,svchost.exe,714,74c,8c,1fc,10000,337807ec30,1c858f02c70
2024-04-18 08:27:03.082904,dwm.exe,418,7b4,172,45c,cbe3bff060,1,cbe3bff050
2024-04-18 08:27:03.114168,dwm.exe,418,7cc,90,470,b70,468,40001402
2024-04-18 08:27:03.145451,dwm.exe,418,7b4,25,fffffffffffffffe,17,cbe3bff3d0,10
2024-04-18 08:27:03.176849,dwm.exe,418,7b4,1010,21043a,2,cbe3bfca88,cbe3bfcbb1
2024-04-18 08:27:03.208039,explorer.exe,1588,164c,1042,42,10,2dde1e0,0
2024-04-18 08:27:03.239417,dwm.exe,418,7b4,1255,cbe3bfbc10,1,cbe3bfbc10,203eda7e790
2024-04-18 08:27:03.270313,dwm.exe,418,6d0,3e,914,203e914c600,1,cbe37af760
2024-04-18 08:27:03.301650,dwm.exe,418,7b4,11dd,cbe3bfc990,40000000,cbe3bfc990,203edaf8c60
2024-04-18 08:27:03.332856,explorer.exe,1588,6e8,1024,18041e,0,1a3,0
2024-04-18 08:27:03.363969,explorer.exe,1588,6e8,1043,8010831,d17dcf8,2480c60,60
2024-04-18 08:27:03.395265,explorer.exe,1588,6e8,17,2a40,d17c9a8,2,d17c860
2024-04-18 08:27:03.426538,explorer.exe,1588,6e8,21,fffffffffffffffa,1,d17aba0,58
2024-04-18 08:27:03.457758,explorer.exe,1588,6e8,16,392,7,d17c008,4
2024-04-18 08:27:03.488972,explorer.exe,1588,6e8,16,21c4,4,d17d630,28
2024-04-18 08:27:03.520185,explorer.exe,1588,6e8,10dd,d17d938,0,0,0
2024-04-18 08:27:03.551489,explorer.exe,1588,6e8,10dd,d17d938,0,0,0
2024-04-18 08:27:03.582637,explorer.exe,1588,6e8,10dd,d17d7a8,0,0,0
2024-04-18 08:27:03.613908,explorer.exe,1588,6e8,121,d17d6b8,20119,d17d6d8,0
2024-04-18 08:27:03.645207,explorer.exe,1588,6e8,10dd,d17d7a8,0,0,0
2024-04-18 08:27:03.676289,explorer.exe,1588,6e8,5,d17d600,18,0,d17d618
