2024-05-03 14:59:23.268477,soffice.bin,f30,774,1294,400109e3,3,0,12
2024-05-03 14:59:23.299792,soffice.bin,f30,774,1c,ffffffffffffffff,c,17af610,4
2024-05-03 14:59:23.330992,explorer.exe,15f8,15fc,d0,c0e2,c0e2,78c9c0,1
2024-05-03 14:59:23.361977,dwm.exe,410,6b4,144,6a0,a42fbfec20,228,a42fbfec01
2024-05-03 14:59:23.393279,soffice.bin,f30,774,19,ffffffffffffffff,c,17af308,4
2024-05-03 14:59:23.424880,dwm.exe,410,6b4,144,6a0,a42fbfec20,228,1
2024-05-03 14:59:23.456030,soffice.bin,f30,774,19,ffffffffffffffff,c,17ae9d4,4
2024-05-03 14:59:23.487314,soffice.bin,f30,774,143,89c,0,0,0
2024-05-03 14:59:23.518481,soffice.bin,f30,774,36,3f,17aece8,c,0
2024-05-03 14:59:23.549696,soffice.bin,f30,774,55,34e1f0,80100080,34eac0,34e208
2024-05-03 14:59:23.580907,explorer.exe,15f8,1584,1010,1022e,0,0,a2feaa0
2024-05-03 14:59:23.612249,ctfmon.exe,1288,1314,121,41b57ed688,1,41b57ed6a8,0
2024-05-03 14:59:23.643318,ctfmon.exe,1288,1314,17,74c,41b57ed888,2,41b57ed740
2024-05-03 14:59:23.674580,soffice.bin,f30,774,1e,ffffffffffffffff,34e220,34e208,4000
2024-05-03 14:59:23.705838,soffice.bin,12fc,3d4,40070,8b8,770f8a30,212,770e2cfc
2024-05-03 14:59:23.737285,soffice.bin,12fc,8b8,17,2ac,adde38,2,1da1c58
2024-05-03 14:59:23.768169,soffice.bin,12fc,8b8,33,adde78,100001,ade6d0,adde18
2024-05-03 14:59:23.799684,soffice.bin,12fc,8b8,143,328,0,0,0
2024-05-03 14:59:23.830761,soffice.bin,12fc,8b8,3000f,328,770f8a30,200206,770e3fcc
2024-05-03 14:59:23.862227,soffice.bin,12fc,8b8,143,328,0,0,0
2024-05-03 14:59:23.893198,soffice.bin,12fc,8b8,1ce,ffffffffffffffff,b990000,0,0
2024-05-03 14:59:23.924762,soffice.bin,12fc,8b8,3000f,340,770f8a30,200216,770e2cec
2024-05-03 14:59:23.955863,soffice.bin,12fc,8b8,3000f,340,770f8a30,200202,770e2cec
2024-05-03 14:59:23.987011,soffice.bin,12fc,8b8,37,adde78,d,ade6d0,4b
2024-05-03 14:59:24.018342,soffice.bin,12fc,8b8,3000f,408,770f8a30,200206,770e2cec
2024-05-03 14:59:24.049597,soffice.bin,12fc,8b8,104a,0,0,69e97070,1b8bfb4
2024-05-03 14:59:24.080757,soffice.bin,12fc,8b8,3f,4c4,1cbe408,1b8d85c,48
2024-05-03 14:59:24.111910,soffice.bin,12fc,8b8,3f,4c4,1cb8a38,1b8d8d0,48
2024-05-03 14:59:24.143315,soffice.bin,12fc,8b8,3f,4c4,1cc11e8,1b8d8d0,48
2024-05-03 14:59:24.174430,soffice.bin,12fc,8b8,3f,4c4,1cc0638,1b8d8d0,48
2024-05-03 14:59:24.205575,soffice.bin,12fc,8b8,3f,4c4,1cb8a38,1b8d85c,48
2024-05-03 14:59:24.236904,soffice.bin,12fc,8b8,3f,4c4,1ccb6a8,1b8d85c,48
2024-05-03 14:59:24.268258,soffice.bin,12fc,8b8,3f,4c4,1cc04d8,1b8d8d0,48
2024-05-03 14:59:24.299425,soffice.bin,12fc,8b8,3f,4c4,1cb7710,1b8d85c,48
2024-05-03 14:59:24.330691,soffice.bin,12fc,8b8,3f,4c4,114600c,1b8d824,4
2024-05-03 14:59:24.362073,soffice.bin,12fc,8b8,3f,4c4,1cb8d08,1b8d8d0,48
2024-05-03 14:59:24.393140,soffice.bin,12fc,8b8,3f,4c4,1ccb548,1b8d8d0,48
2024-05-03 14:59:24.424419,soffice.bin,12fc,8b8,3f,4c4,1ccaf18,1b8d8d0,48
2024-05-03 14:59:24.455638,soffice.bin,12fc,8b8,3f,4c4,1ccc308,1b8d85c,48
2024-05-03 14:59:24.486954,soffice.bin,12fc,8b8,3f,4c4,1cb7628,1b8d8d0,48
2024-05-03 14:59:24.518276,soffice.bin,12fc,8b8,3f,4c4,1cbeb38,1b8d8d0,48
2024-05-03 14:59:24.549285,soffice.bin,12fc,8b8,3f,4c4,1cc3fb0,1b8d8d0,48
2024-05-03 14:59:24.580405,soffice.bin,12fc,8b8,16,110,7,addda8,4
2024-05-03 14:59:24.611756,soffice.bin,12fc,8b8,3000f,564,770f8a30,200202,770e2dac
2024-05-03 14:59:24.642859,soffice.bin,12fc,8b8,16,574,7,addda8,4
2024-05-03 14:59:24.674827,soffice.bin,12fc,8b8,17,6d8,adde38,2,ed5100
2024-05-03 14:59:24.705429,soffice.bin,12fc,8b8,11dd,adde30,adde30,1,6
2024-05-03 14:59:24.736609,soffice.bin,12fc,8b8,11dd,adde30,adde30,1,6
2024-05-03 14:59:24.768189,soffice.bin,12fc,8b8,c00e9,ffffffffffffffff,69db6a30,60,770e3a2c
2024-05-03 14:59:24.799247,soffice.bin,12fc,8b8,11dd,adde30,adde30,1,6
2024-05-03 14:59:24.830508,soffice.bin,12fc,8b8,3f,790,77195d94,1b8d678,4
2024-05-03 14:59:24.861741,soffice.bin,12fc,8b8,3f,790,1cc4320,1b8d6ac,48
2024-05-03 14:59:24.892867,soffice.bin,12fc,8b8,3f,790,1cc0d18,1b8d720,48
2024-05-03 14:59:24.924132,soffice.bin,12fc,8b8,3f,790,1cb8ec0,1b8d720,48
2024-05-03 14:59:24.955448,soffice.bin,12fc,8b8,3f,790,1cc04d8,1b8d6ac,48
2024-05-03 14:59:24.986827,soffice.bin,12fc,8b8,3f,790,1cc11e8,1b8d6ac,48
2024-05-03 14:59:25.017978,soffice.bin,12fc,8b8,3f,790,1cb8ec0,1b8d720,48
2024-05-03 14:59:25.049028,soffice.bin,12fc,8b8,3f,790,1cc3cf0,1b8d720,48
2024-05-03 14:59:25.080466,soffice.bin,12fc,8b8,3f,790,1cb7710,1b8d6ac,48
2024-05-03 14:59:25.111733,soffice.bin,12fc,8b8,3f,790,1cc3f00,1b8d6ac,48
2024-05-03 14:59:25.142961,soffice.bin,12fc,8b8,3f,790,1cc0848,1b8d720,48
2024-05-03 14:59:25.174123,soffice.bin,12fc,8b8,3f,790,1cc0bb8,1b8d720,48
2024-05-03 14:59:25.205389,soffice.bin,12fc,8b8,3f,790,1cb8a38,1b8d6ac,48
2024-05-03 14:59:25.236645,wsqmcons.exe,d24,2474,76,ffffffffffffffff,7ff9014bdc28,37d2f1f3b0,102000
2024-05-03 14:59:25.267857,soffice.bin,12fc,8b8,3f,790,1cc3e50,1b8d6ac,48
2024-05-03 14:59:25.299216,soffice.bin,12fc,8b8,3f,790,1cc4110,1b8d720,48
2024-05-03 14:59:25.330358,soffice.bin,12fc,8b8,3f,790,1cc3cf0,1b8d720,48
2024-05-03 14:59:25.361596,soffice.bin,12fc,8b8,3000f,6cc,770f8a30,200202,770e2c6c
2024-05-03 14:59:25.393018,soffice.bin,12fc,8b8,11bd,adde30,1bd,1,6
2024-05-03 14:59:25.424261,soffice.bin,12fc,8b8,11b8,1b8eb9c,1b8,1,6
2024-05-03 14:59:25.455430,soffice.bin,12fc,8b8,120a,adde40,20a,1,6
2024-05-03 14:59:25.486609,explorer.exe,15f8,1584,10ff,80024,56,8032a0,10001
2024-05-03 14:59:25.517884,soffice.bin,12fc,8b8,36,3e,ade6c0,40,adde38
2024-05-03 14:59:25.549073,soffice.bin,12fc,8b8,a1,adb880,adb7b0,27f,76580611d953
2024-05-03 14:59:25.580224,soffice.bin,12fc,8b8,33,adde78,100001,ade6d0,adde18
2024-05-03 14:59:25.611590,explorer.exe,15f8,2638,d,fffffffffffffffe,3,2a0f5d8,4
2024-05-03 14:59:25.642618,soffice.bin,12fc,8b8,36,3e,ade6c0,40,adde38
2024-05-03 14:59:25.673852,dwm.exe,410,6b4,1255,a42fbfe600,0,a42fbfe600,24a5effd6f0
2024-05-03 14:59:25.705408,soffice.bin,12fc,8b8,37,adde78,d,ade6d0,4b
2024-05-03 14:59:25.736558,soffice.bin,12fc,8b8,3d,ade6d0,adde28,ade630,0
2024-05-03 14:59:25.767498,soffice.bin,12fc,8b8,3d,ade6d0,adde28,ade6c0,50
2024-05-03 14:59:25.798855,soffice.bin,12fc,8b8,c0,adde78,1f0003,0,0
2024-05-03 14:59:25.830146,soffice.bin,12fc,8b8,c0,adde78,1f0003,0,0
2024-05-03 14:59:25.861440,soffice.bin,12fc,334,c000a,994,1,0,770e314c
2024-05-03 14:59:25.892606,soffice.bin,12fc,334,1a,1e8cf8ec00000009,1e8cf8ec,1,0
2024-05-03 14:59:25.923827,soffice.bin,12fc,8b8,3000f,994,770f8a30,200216,770e2bbc
2024-05-03 14:59:25.955063,soffice.bin,12fc,8b8,c0,adde78,1f0003,0,0
2024-05-03 14:59:25.989489,SearchIndexer.,159c,5a4,e,994,0,0,0
2024-05-03 14:59:26.034377,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e3d8,0
2024-05-03 14:59:26.064762,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,ffffffff
2024-05-03 14:59:26.095728,SearchIndexer.,159c,5a4,4,1d0,0,59bcf7d538,fffffffffffff772
