2024-04-18 07:29:43.024747,Taskmgr.exe,1284,1630,1031,50112e4,0,0,3c
2024-04-18 07:29:43.055907,Taskmgr.exe,1284,1630,1071,50112e4,60,1a5be9f1a0c,1a5be8b2ff0
2024-04-18 07:29:43.087155,Taskmgr.exe,1284,1630,1023,fffffffffa050f59,fa,1,f59
2024-04-18 07:29:43.118300,Taskmgr.exe,1284,1630,104b,30112ef,1,1,312ef
2024-04-18 07:29:43.149397,Taskmgr.exe,1284,1630,1082,30112ef,3105102b,0,0
2024-04-18 07:29:43.180795,Taskmgr.exe,1284,1630,1082,30112ef,3105102b,0,1
2024-04-18 07:29:43.212244,Taskmgr.exe,1284,1630,1023,3105102b,31,1,102b
2024-04-18 07:29:43.243459,soffice.bin,23a4,1bdc,60034,0,152cf87c,206,77292efc
2024-04-18 07:29:43.274751,NisSrv.exe,888,2068,171,114,1,0,ffff0000
2024-04-18 07:29:43.305834,NisSrv.exe,888,2068,7,36c,0,0,261cf956458
2024-04-18 07:29:43.337038,NisSrv.exe,888,2068,1d5,374,261cf9648f0,10,dda80ff9a8
2024-04-18 07:29:43.368275,NisSrv.exe,888,1de8,171,114,1,0,ffff0000
2024-04-18 07:29:43.399528,NisSrv.exe,888,1de8,1d5,114,261cf90d070,10,dda7a7f978
2024-04-18 07:29:43.430966,NisSrv.exe,888,1e08,1d5,114,261cf92ce80,10,dda7f7fac8
2024-04-18 07:29:43.461913,soffice.bin,23a4,1bdc,36,3e,11bdeea0,40,11bde618
2024-04-18 07:29:43.493146,soffice.bin,23a4,1b8c,31044,a2,766a6320,206,77292bbc
2024-04-18 07:29:43.524401,OneDrive.exe,458,2038,4,af8,0,135f9ff808,135f9ff980
2024-04-18 07:29:43.555798,soffice.bin,23a4,1bdc,36,8,11bded60,180,11bde288
2024-04-18 07:29:43.587064,soffice.bin,23a4,1b8c,d0004,7a8,0,174af6e8,766a144c
2024-04-18 07:29:43.618384,soffice.bin,23a4,1bdc,60034,0,152cf87c,206,77292efc
2024-04-18 07:29:43.649562,hyperdbg-cli.e,24d8,2514,7,1f8,0,0,0
2024-04-18 07:29:43.680736,OneDrive.exe,458,2038,4,af8,0,135f9ff808,135f9ff980
2024-04-18 07:29:43.712103,NisSrv.exe,888,1de8,171,114,1,0,ffff0000
2024-04-18 07:29:43.743320,NisSrv.exe,888,1de8,1d5,114,261cf90d070,10,dda7a7f978
2024-04-18 07:29:43.774671,NisSrv.exe,888,1e08,1d5,114,261cf92ce80,10,dda7f7fac8
2024-04-18 07:29:43.805765,soffice.bin,23a4,d18,d0004,768,0,1618fbdc,77292bbc
2024-04-18 07:29:43.836982,OneDrive.exe,458,2038,4,af8,0,135f9ff808,135f9ff980
2024-04-18 07:29:43.868097,soffice.bin,23a4,1b8c,31044,a2,766a6320,206,77292bbc
2024-04-18 07:29:43.899427,soffice.bin,23a4,1bdc,36,3e,11bdeea0,40,11bde618
2024-04-18 07:29:43.930488,Taskmgr.exe,1284,1630,1082,30112ef,4305102b,0,0
2024-04-18 07:29:43.961750,Taskmgr.exe,1284,1630,1031,20112f0,0,0,3c
2024-04-18 07:29:43.992951,Taskmgr.exe,1284,1630,1031,52010b65,0,0,3c
2024-04-18 07:29:44.024471,Taskmgr.exe,1284,1630,1071,52010b65,60,1a5be9f1a0c,1a5be8b04d0
2024-04-18 07:29:44.055595,Taskmgr.exe,1284,1630,1023,ffffffff83050fec,83,1,fec
2024-04-18 07:29:44.086912,Taskmgr.exe,1284,1630,104b,30112ef,1,1,312ef
2024-04-18 07:29:44.118212,Taskmgr.exe,1284,1630,1082,30112ef,ffffffffae050f08,0,0
2024-04-18 07:29:44.149366,Taskmgr.exe,1284,1630,1082,30112ef,ffffffffae050f08,0,1
2024-04-18 07:29:44.180662,Taskmgr.exe,1284,1630,1023,ffffffffae050f08,ae,1,f08
2024-04-18 07:29:44.211914,Taskmgr.exe,1284,1630,1097,30112ef,0,0,1e47a7e540
2024-04-18 07:29:44.243159,Taskmgr.exe,1284,1630,100b,20112f0,7b050b56,38d0,2
2024-04-18 07:29:44.274503,Taskmgr.exe,1284,1630,1031,20112f0,0,0,28
2024-04-18 07:29:44.305732,Taskmgr.exe,1284,1630,1031,52010b65,13,21,28
2024-04-18 07:29:44.336974,NisSrv.exe,888,1e08,1d5,114,261cf92ce80,10,dda7f7fac8
2024-04-18 07:29:44.368264,NisSrv.exe,888,1de8,1d5,114,261cf90d070,10,dda7a7f978
2024-04-18 07:29:44.399476,soffice.bin,23a4,1bdc,36,3e,11bdeea0,40,11bde618
2024-04-18 07:29:44.430678,MsMpEng.exe,ef0,b90,1b0,28,873d57fb18,0,873d57fb48
2024-04-18 07:29:44.461864,soffice.bin,23a4,1b8c,31044,a2,766a6320,206,77292bbc
2024-04-18 07:29:44.493142,OneDrive.exe,458,2038,4,af8,0,135f9ff808,135f9ff980
2024-04-18 07:29:44.524145,soffice.bin,23a4,1bdc,36,8,11bded60,180,11bde288
2024-04-18 07:29:44.555338,MsMpEng.exe,ef0,b90,1b0,28,873d57fa50,0,873d57fa58
2024-04-18 07:29:44.586765,soffice.bin,23a4,1b8c,d0004,7a8,0,174af6e8,766a144c
2024-04-18 07:29:44.618104,MsMpEng.exe,ef0,b90,90,2c,18,28,1ab7e3b0c68
2024-04-18 07:29:44.649340,soffice.bin,23a4,1bdc,60034,0,152cf87c,206,77292efc
2024-04-18 07:29:44.680590,MsMpEng.exe,ef0,b90,1d5,1c,1ab05600230,10,873d57fbe8
2024-04-18 07:29:44.711951,hyperdbg-cli.e,24d8,2514,7,1f8,0,0,0
2024-04-18 07:29:44.743063,OneDrive.exe,458,2038,4,af8,0,135f9ff808,135f9ff980
2024-04-18 07:29:44.774380,soffice.bin,23a4,1b8c,31044,a2,766a6320,206,77292bbc
2024-04-18 07:29:44.805637,soffice.bin,23a4,1bdc,36,3e,11bdeea0,40,11bde618
2024-04-18 07:29:44.836549,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 07:29:44.867844,dwm.exe,418,7cc,5b,1,203e8ee1b60,1,0
2024-04-18 07:29:44.899170,soffice.bin,23a4,23a8,100e,203ea,a91f,1,6
2024-04-18 07:29:44.930295,Taskmgr.exe,1284,1630,1082,30112ef,5e050f4b,0,1
2024-04-18 07:29:44.961612,Taskmgr.exe,1284,1630,100b,20112f0,ffffffffea050f08,38d0,2
2024-04-18 07:29:44.992688,Taskmgr.exe,1284,1630,1031,20112f0,0,0,3c
2024-04-18 07:29:45.024100,dwm.exe,418,7cc,90,470,b70,468,40001402
2024-04-18 07:29:45.055345,soffice.bin,23a4,23a8,146e,203ea,46e,1,6
2024-04-18 07:29:45.086551,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 07:29:45.117828,soffice.bin,23a4,23a8,146c,203ea,46c,1,6
2024-04-18 07:29:45.149105,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 07:29:45.180354,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 07:29:45.211786,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 07:29:45.242934,soffice.bin,23a4,23a8,a1,31b860,31b790,27f,a454a2f6358c
2024-04-18 07:29:45.274149,dwm.exe,418,7cc,172,b70,cbe3cff800,1,cbe3cff7f0
2024-04-18 07:29:45.305374,RuntimeBroker.,1cdc,1c54,1d5,1c,16ca2a10ac0,10,5c301ff758
2024-04-18 07:29:45.336498,RuntimeBroker.,1cdc,1cf4,5e,7fffffff0005000f,200,28,5c2fd9f8a0
2024-04-18 07:29:45.367701,soffice.bin,23a4,23a8,3000f,836,772a8a30,200206,77292c6c
2024-04-18 07:29:45.398726,soffice.bin,23a4,23a8,3000f,eb4,772a8a30,200206,77292eec
2024-04-18 07:29:45.429995,MsMpEng.exe,ef0,1044,15f,f44,873d27a338,873d27a328,1ab0b3141a0
2024-04-18 07:29:45.461254,soffice.bin,23a4,23a8,16,38a,3,15bb180,180
2024-04-18 07:29:45.492640,csrss.exe,28c,29c,121,4e5cfd2b8,20119,4e5cfd2d8,0
2024-04-18 07:29:45.523753,csrss.exe,28c,33c,76,ffffffffffffffff,4e5c3e3e0,4e5c3e358,1000
2024-04-18 07:29:45.555285,dwm.exe,418,6d0,112f,4,2,cbe37af280,cbe37af310
2024-04-18 07:29:45.586289,soffice.bin,23a4,23a8,16,f0a,7,31cc10,4
2024-04-18 07:29:45.617492,soffice.bin,23a4,23a8,a1,318300,318230,27f,a454a2f6358c
