Reading logs from ../logs/V1
Classifying malicious_ransomwarePOC_10min_1.log as malicious, 13383 malicious entries found
Classifying malicious_ransomwarePOC_10min.log as malicious, 14477 malicious entries found
Total number of parameter combinations: 270
Starting grid search...
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 50, 'max_samples': 1.0, 'max_features': 0.75}, F1 Score: 0.024096385542168676
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 100, 'max_samples': 'auto', 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 'auto', 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 100, 'max_samples': 0.5, 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 0.5, 'max_features': 1.0}, F1 Score: 0.24299065420560748
Vectorizer: CountVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 0.5, 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 1.0, 'max_features': 1.0}, F1 Score: 0.8057553956834532
Vectorizer: CountVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 1.0, 'max_features': 0.5}, F1 Score: 0.3185840707964602
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 'auto', 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 100, 'max_samples': 1.0, 'max_features': 0.5}, F1 Score: 0.07228915662650602
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 100, 'max_samples': 'auto', 'max_features': 0.75}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 0.5, 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 100, 'max_samples': 0.5, 'max_features': 0.75}, F1 Score: 0.6212121212121212
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 100, 'max_samples': 1.0, 'max_features': 0.75}, F1 Score: 0.7200000000000001
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 1.0, 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 'auto', 'max_features': 0.75}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 0.5, 'max_features': 0.75}, F1 Score: 0.7586206896551723
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 100, 'max_samples': 'auto', 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 1.0, 'max_features': 0.75}, F1 Score: 0.7022900763358778
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 'auto', 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 100, 'max_samples': 0.5, 'max_features': 1.0}, F1 Score: 0.023255813953488372
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 'auto', 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 0.5, 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 0.5, 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 100, 'max_samples': 1.0, 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 1.0, 'max_features': 0.5}, F1 Score: 0.40384615384615385
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 200, 'max_samples': 'auto', 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 1.0, 'max_features': 0.5}, F1 Score: 0.15555555555555556
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 'auto', 'max_features': 0.75}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 200, 'max_samples': 0.5, 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 0.5, 'max_features': 0.75}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 'auto', 'max_features': 0.75}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 200, 'max_samples': 1.0, 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 0.5, 'max_features': 0.75}, F1 Score: 0.7375886524822696
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 1.0, 'max_features': 0.75}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 'auto', 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 2, Parameters: {'n_estimators': 200, 'max_samples': 1.0, 'max_features': 0.75}, F1 Score: 0.1411764705882353
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 100, 'max_samples': 'auto', 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 0.5, 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 'auto', 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 100, 'max_samples': 0.5, 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 1.0, 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 0.5, 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: CountVectorizer, Ngram: 3, Parameters: {'n_estimators': 100, 'max_samples': 1.0, 'max_features': 0.5}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 3, Parameters: {'n_estimators': 100, 'max_samples': 'auto', 'max_features': 1.0}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 'auto', 'max_features': 0.75}, F1 Score: 0.0
Vectorizer: TfidfVectorizer, Ngram: 3, Parameters: {'n_estimators': 50, 'max_samples': 0.5, 'max_features': 0.75}, F1 Score: 0.43636363636363634
